Well,Well Position,Cycle,Target Name,Rn,Delta Rn
1,A01,1,sample,"60,821.40",-2781.49
1,A01,2,sample,"61,319.51",-2402.44
1,A01,3,sample,"62,618.29",-1222.73
1,A01,4,sample,"63,195.63",-764.46
1,A01,5,sample,"63,761.80",-317.36
1,A01,6,sample,"64,579.27",381.05
1,A01,7,sample,"64,700.00",382.7
1,A01,8,sample,"64,660.65",224.29
1,A01,9,sample,"65,163.13",607.7
1,A01,10,sample,"65,228.48",553.98
1,A01,11,sample,"65,344.38",550.81
1,A01,12,sample,"65,292.92",380.28
1,A01,13,sample,"65,539.41",507.71
1,A01,14,sample,"65,358.91",208.13
1,A01,15,sample,"65,126.53",-143.31
1,A01,16,sample,"65,222.37",-166.54
1,A01,17,sample,"65,628.22",120.24
1,A01,18,sample,"65,695.84",68.8
1,A01,19,sample,"65,593.11",-153
1,A01,20,sample,"65,434.50",-430.68
1,A01,21,sample,"65,196.65",-787.61
1,A01,22,sample,"65,201.05",-902.27
1,A01,23,sample,"66,261.93",39.54
1,A01,24,sample,"67,455.33",1113.87
1,A01,25,sample,"69,368.86",2908.34
1,A01,26,sample,"73,405.57",6825.98
1,A01,27,sample,"81,182.52",14483.86
1,A01,28,sample,"93,833.46",27015.73
1,A01,29,sample,"114,328.24",47391.45
1,A01,30,sample,"144,537.31",77481.45
1,A01,31,sample,"183,924.83",116749.9
1,A01,32,sample,"231,537.13",164243.13
1,A01,33,sample,"283,459.16",216046.09
1,A01,34,sample,"333,320.66",265788.53
1,A01,35,sample,"375,194.63",307543.41
1,A01,36,sample,"407,622.56",339852.28
1,A01,37,sample,"429,801.19",361911.84
1,A01,38,sample,"445,383.72",377375.31
1,A01,39,sample,"456,910.41",388782.94
1,A01,40,sample,"463,839.31",395592.75
2,A02,1,sample,"77,957.52",-5308.08
2,A02,2,sample,"78,898.36",-4372.58
2,A02,3,sample,"80,357.83",-2918.45
2,A02,4,sample,"81,886.75",-1394.86
2,A02,5,sample,"83,172.97",-113.98
2,A02,6,sample,"83,902.30",610.01
2,A02,7,sample,"84,240.12",942.49
2,A02,8,sample,"84,158.79",855.83
2,A02,9,sample,"84,264.20",955.9
2,A02,10,sample,"84,161.80",848.16
2,A02,11,sample,"84,354.55",1035.57
2,A02,12,sample,"84,184.43",860.12
2,A02,13,sample,"84,016.87",687.22
2,A02,14,sample,"83,753.14",418.16
2,A02,15,sample,"83,563.41",223.09
2,A02,16,sample,"83,339.09",-6.56
2,A02,17,sample,"83,089.35",-261.64
2,A02,18,sample,"82,991.10",-365.23
2,A02,19,sample,"82,779.56",-582.11
2,A02,20,sample,"82,643.03",-723.98
2,A02,21,sample,"82,302.60",-1069.74
2,A02,22,sample,"82,173.16",-1204.52
2,A02,23,sample,"82,634.57",-748.45
2,A02,24,sample,"82,655.30",-733.06
2,A02,25,sample,"82,989.78",-403.91
2,A02,26,sample,"83,403.31",4.27
2,A02,27,sample,"84,730.83",1326.46
2,A02,28,sample,"87,309.34",3899.64
2,A02,29,sample,"91,152.31",7737.26
2,A02,30,sample,"98,113.92",14693.54
2,A02,31,sample,"109,040.81",25615.09
2,A02,32,sample,"126,914.46",43483.41
2,A02,33,sample,"151,627.73",68191.34
2,A02,34,sample,"184,654.44",101212.71
2,A02,35,sample,"226,048.09",142601.03
2,A02,36,sample,"272,165.75",188713.34
2,A02,37,sample,"318,472.09",235014.36
2,A02,38,sample,"359,640.00",276176.91
2,A02,39,sample,"391,448.00",307979.59
2,A02,40,sample,"412,113.97",328640.22
3,A03,1,sample,"64,720.14",952.83
3,A03,2,sample,"64,815.66",-36.03
3,A03,3,sample,"65,896.08",-39.99
3,A03,4,sample,"66,437.12",-583.33
3,A03,5,sample,"66,888.91",-1215.92
3,A03,6,sample,"67,575.07",-1614.13
3,A03,7,sample,"67,583.08",-2690.51
3,A03,8,sample,"67,510.13",-3847.84
3,A03,9,sample,"69,784.54",-2657.81
3,A03,10,sample,"77,639.83",4113.1
3,A03,11,sample,"79,772.87",5161.76
3,A03,12,sample,"80,161.61",4466.12
3,A03,13,sample,"80,075.36",3295.49
3,A03,14,sample,"80,091.34",2227.09
3,A03,15,sample,"80,600.13",1651.5
3,A03,16,sample,"80,462.25",429.24
3,A03,17,sample,"80,364.06",-753.33
3,A03,18,sample,"80,418.02",-1783.76
3,A03,19,sample,"80,628.66",-2657.49
3,A03,20,sample,"80,870.34",-3500.2
3,A03,21,sample,"81,499.53",-3955.38
3,A03,22,sample,"82,193.40",-4345.9
3,A03,23,sample,"83,483.18",-4140.5
3,A03,24,sample,"85,786.56",-2921.5
3,A03,25,sample,"90,792.48",1000.05
3,A03,26,sample,"99,763.63",8886.81
3,A03,27,sample,"115,192.20",23231
3,A03,28,sample,"139,903.69",46858.11
3,A03,29,sample,"175,542.16",81412.2
3,A03,30,sample,"222,353.72",127139.38
3,A03,31,sample,"278,118.16",181819.44
3,A03,32,sample,"339,023.50",241640.39
3,A03,33,sample,"396,485.38",298017.91
3,A03,34,sample,"444,029.44",344477.56
3,A03,35,sample,"478,419.00",377782.75
3,A03,36,sample,"501,690.06",399969.44
3,A03,37,sample,"516,994.38",414189.38
3,A03,38,sample,"526,912.19",423022.81
3,A03,39,sample,"533,537.63",428563.84
3,A03,40,sample,"537,706.69",431648.53
4,A04,1,sample,"60,141.57",-17421.81
4,A04,2,sample,"61,266.68",-17273.69
4,A04,3,sample,"64,956.31",-14561.05
4,A04,4,sample,"69,933.16",-10561.19
4,A04,5,sample,"72,809.24",-8662.1
4,A04,6,sample,"81,920.88",-527.46
4,A04,7,sample,"88,135.15",4709.82
4,A04,8,sample,"91,902.84",7500.52
4,A04,9,sample,"94,735.77",9356.46
4,A04,10,sample,"96,106.26",9749.96
4,A04,11,sample,"96,364.34",9031.05
4,A04,12,sample,"95,948.73",7638.44
4,A04,13,sample,"95,252.33",5965.05
4,A04,14,sample,"94,097.48",3833.22
4,A04,15,sample,"92,955.77",1714.51
4,A04,16,sample,"91,774.34",-443.91
4,A04,17,sample,"91,025.02",-2170.22
4,A04,18,sample,"90,592.84",-3579.4
4,A04,19,sample,"89,937.91",-5211.32
4,A04,20,sample,"89,464.23",-6661.98
4,A04,21,sample,"89,982.80",-7120.41
4,A04,22,sample,"91,039.24",-7040.96
4,A04,23,sample,"93,051.43",-6005.76
4,A04,24,sample,"97,175.63",-2858.56
4,A04,25,sample,"104,523.87",3512.69
4,A04,26,sample,"118,174.18",16186.01
4,A04,27,sample,"140,348.86",37383.7
